name,latitude,longitude,building_count
BARRIER FREE FELLOWSHIP UNITED METHODIST CHURCH,41.072075,-80.456118,6
BARTON MINISTRIES LLC,47.535299,-122.295009,4
"BAYSIDE PRESBYTERIAN CHURCH OF VIRGINIA BEACH, INC.",36.884005,-76.133359,2
BCC 400 CHURCH DEVELOPER LLC,38.944179,-77.211902,2
BDC WEST FALLS CHURCH LLC,38.95931,-77.084381,1
"BEACH FELLOWSHIP CHURCH, INC.",36.77888,-76.004864,1
BEAUTY FOR OUR ASHES-CHRISTIAN NETWORK,38.809125,-77.111445,4
BEDROCK CHURCH LYNCHBURG,37.409834,-79.21688,1
Bedrock Church Roanoke,37.308219,-79.888348,1
BEIT ZAYIT MESSIANIC CONGREGATION,38.16584,-79.077932,4
"BETHANY CHRISTIAN SERVICES OF HAMPTON ROADS, INC.",42.980631,-85.650722,1
"BETHANY CHRISTIAN SERVICES OF VIRGINIA, INC.",42.980631,-85.650722,1
"BETHANY PRESBYTERIAN CHURCH OF STAUNTON, VIRGINIA, INCORPORATED",38.162224,-79.09771,1
"BETHEL A.M.E. CHURCH PRINCE WILLIAM COUNTY, INC.",38.603141,-77.341481,0
"BETHEL A.M.E. CHURCH, INC.",37.053902,-76.382717,1
"BETHEL BAPTIST CHURCH OF BASKERVILLE, VA, INC.",36.660574,-78.288506,1
BETHEL CALVARY TEMPLE HOUSE OF PRAYER MINISTRIES,43.7694,-79.4921,0
BETHEL CHURCH OF THE BRETHEN LLC,37.679025,-78.870317,2
BETHEL KOREAN BAPTIST CHURCH,38.65143,-77.30576,1
BETHEL MIRACLE TEMPLE OF DELIVERANCE,37.007028,-76.422343,2
"BETHEL REVIVAL CHURCH, INC.",36.698333,-77.536698,2
BETHEL WORSHIP CENTER CHURCH INC.,38.430084,-77.40325,4
"BETHEL WORSHIP CENTER CHURCH INTERNATIONAL, INC.",36.870864,-76.403272,5
BETHLEHEM BAPTIST CHURCH MASSAPONAX,38.192385,-77.495723,2
BETHLEHEM PRESBYTERIAN CHURCH,37.637178,-77.190437,2
"BIBLEWAY HOLINESS CHURCH APOSTOLIC, INC.",36.796792,-76.260149,5
"BIG STONE GAP PRESBYTERIAN CHURCH, INC.",36.865571,-82.774564,5
"BLACK CHRISTIAN BIRTHWORKERS NETWORK, LLC",36.73419,-76.335237,5
BLACK CREEK BAPTIST CHURCH,37.575637,-77.226389,2
BLACK GIRL BIBLE LLC,28.226393,-82.280691,7
BLANKINGSHIP & CHRISTIANO PC,38.950483,-77.353121,1
"BLUE AND GRAY POST NUMBER 225 AMERICAN LEGION FALLS CHURCH, VIRGINIA INC.",38.815762,-77.09005,2
BLUE RIDGE CHRISTIAN HOME CORPORATION,37.90428,-79.238802,3
BLUFOX MOBILE VA CHRISTIANSBURG LLC,40.775723,-73.474129,2
"BOARD OF MISSIONS AND CHURCH EXTENSION OF THE ROANOKE DISTRICT, VIRGINIA CONFERENCE OF THE UNITE",37.222979,-79.984348,1
"BOARD OF MISSIONS OF THE STAUNTON DISTRICT, VIRGINIA CONFERENCE, OF THE UNITED METHODIST CHURC",38.096809,-78.967768,1
"BODY OF BELIEVERS OUTREACH CHURCH OF GOD IN CHRIST, INCORPORATED",36.833156,-76.001535,1
"BOLAY FALLS CHURCH, VA LLC",26.844654,-80.133699,3
BORN AGAIN CHRISTIAN MINISTRIES,39.684075,-104.79969,6
Boulder Korean Church,40.006187,-105.247074,1
BRADDOCK BAPTIST CHURCH,38.819351,-77.164277,2
BRADLEY M SUTTER MD,39.790862,-86.161464,2
BRENT E MITCHELL,35.044339,-106.672872,5
BRENT E MITCHELL,35.082554,-106.636238,3
"BRIDGE CHRISTIAN MINISTRIES, LLC",37.260502,-79.946771,2
BRIDGE POINT CHURCH,37.499826,-76.527976,1
"BROOK BAPTIST CHURCH, INC.",36.873903,-76.125681,1
BROOKSIDE CHURCH,39.03136,-78.279901,1
BUB HWA BUDDHIST TEMPLE,38.833101,-77.194464,4
"BUDDHIST EDUCATION CENTER OF AMERICA - DONG HUNG TEMPLE, INC.",36.854853,-76.170767,2
"BUENA VISTA PRESBYTERIAN CHURCH, INC.",37.737628,-79.350195,5
BUFFALO BAPTIST CHURCH,36.627358,-78.647576,1
BUILT TO WORSHIP FITNESS LLC,36.839339,-76.14763,2
BURKE COMMUNITY CHURCH,38.77092,-77.2882,2
BURNT CHURCH PEAT MOSS CO. LTD.,36.324103,-88.782561,0
"CALVARY APOSTOLIC CHURCH OF BRADENTON, INC.",27.464157,-82.594132,
CALVARY ASSEMBLY OF GOD,38.169012,-79.07625,
CALVARY ASSEMBLY OF GOD OF VIRGINIA BEACH,36.807709,-76.153731,
CALVARY BAPTIST CHURCH INC,41.126146,-73.442423,
"CALVARY BAPTIST CHURCH OF BEDFORD, INC.",37.321805,-79.514941,
CALVARY BAPTIST CHURCH OF LOS GATOS,37.222788,-121.983274,
CALVARY BAPTIST CHURCH OF SPOTSYLVANIA,38.168915,-77.674798,
Calvary Ethiopian Evangelical Church,37.567605,-77.492881,
CALVARY REFORMATION CHURCH,36.7085,-76.278531,
CALVARY ROAD BAPTIST CHURCH,38.769225,-77.153645,
"CALVARY TEMPLE, INC.",37.225397,-77.418876,
CAMBRIDGE HOUSE CHRISTIAN STUDY CENTER,37.263909,-76.720666,
CAPITAL CITY CHURCH,38.766746,-77.135853,
CAPITAL CITY CHURCH,38.741865,-77.198088,
CARDINAL BAPTIST CHURCH,37.921248,-77.451778,
CARR-PARAGON FALLS CHURCH LLC,38.937356,-77.17615,
CARRIE E JONES,35.996845,-106.088403,
"CASA DE VIDA MINISTRIES CHURCH, CORP.",38.794324,-77.518132,
"CATALYST CHURCH, INC. VA",38.991241,-77.096229,
"CATHEDRAL OF PRAISE MINISTRIES, INCORPORATED",36.816662,-76.232578,
CATHERINE CHRISTIAN INTERIORS LLC,37.524887,-77.05007,
CATHOLIC APOLOGETICS INSTITUTE OF NORTH AMERICA (CAINA),38.480529,-78.10161,
CATHOLIC CHARITIES AND COMMUNITY SERVICES OF THE ARCHDIOCESE OF DENVER,39.760189,-104.996553,
CATHOLIC CHARITIES OF EASTERN VIRGINIA INC,36.8491,-76.166611,
CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,41.847634,-87.703024,
CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,41.745434,-87.547486,
CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,41.892257,-87.66124,
"CATHOLIC COMMUNITY CARE, INC.",41.489381,-81.667486,
CATHOLIC SPORTS,39.738752,-104.408349,
CATHOLIC UNIVERSITY OF CAMEROON BAMENDA CORPORATION,38.794383,-77.507798,
CATHOLIC VENTURES LLC,39.666266,-104.964038,
"CATHOLIC WORLD MISSION (GA), INC.",34.027783,-84.320162,
CAVE SPRING BAPTIST CHURCH,37.216381,-80.019166,
CBC WORLD MINISTRY CHICKAHOMINY BAPTIST CHURCH INC.,37.277468,-76.742174,
CCM SEATTLE GOSPEL CENTER,47.598221,-122.324042,
CDI CHURCHILL DOWNS INCORPORATED,38.2549,-85.580771,
CEDARS OF LEBANON CHURCH LLC,39.042419,-78.369925,
CELEBRATION CHRISTIAN CHURCH MEMBERSHIP,36.763935,-76.592291,
"CELEBRATION CHURCH OF JACKSONVILLE, INC.",30.207617,-81.510465,
CENTENNIAL BAPTIST CHURCH,33.61101,-83.602459,
CENTER CHURCH,37.546886,-77.44232,
"CENTER FOR CONGREGATIONAL SPIRITUALITY, LLC",37.543439,-77.48245,
CENTER FOR SPIRITUAL LIVING,47.707478,-122.331935,
CENTRAL BAPTIST CHURCH,36.330485,-82.317625,
CENTREVILLE BAPTIST CHURCH,38.832601,-77.470436,
"CENTREVILLE ENGLISH CONGREGATION OF JEHOVAH S WITNESSES, INCORPORATED",38.905714,-77.545834,
"CHADWELL STATION MISSIONARY BAPTIST CHURCH, INC.",36.632452,-83.469719,
"CHALICE CHRISTIAN CHURCH (DISCIPLES OF CHRIST), INC.",36.901717,-76.176687,
CHANCELLOR BAPTIST CHURCH,38.273531,-77.576149,
CHANGE THE WORLD CHURCH,36.913257,-76.065874,
"CHAPEL GROVE UNITED CHURCH OF CHRIST, INC.",36.814711,-76.797218,
CHAPEL HILL CHURCH OF CHRIST,35.640617,-86.718225,
CHARITY BAPTIST CHURCH,37.24842,-77.23966,
"CHARITY CHURCH OF GOD, INC.",38.343813,-77.530466,
CHARITY INDEPENDENT BAPTIST CHURCH,37.051882,-76.47453,
CHARLOTTESVILLE COMMUNITY CHURCH,38.027496,-78.474244,
CHERRYDALE BIBLE CHURCH,38.89444,-77.103853,
"CHESAPEAKE CHURCH OF CHRIST, INC.",36.709643,-76.201139,
CHESTER BAPTIST CHURCH,37.353464,-77.445949,
CHESTER GAP BAPTIST CHURCH,38.850523,-78.135409,
CHRIST ALL FAITHS UNITED CHURCH & POSITIVE POWER PROGRAM,40.276445,-76.893348,
CHRIST APOSTOLIC CHURCH INTERNATIONAL,38.610449,-77.298297,
CHRIST APOSTOLIC CHURCH OF AMERICA WOSEM INC.,36.809331,-76.230573,
CHRIST CENTRAL PRESBYTERIAN CHURCH - TYSONS,38.781286,-77.299288,
CHRIST COMMUNITY CHURCH OF WASHINGTON,38.89717,-77.431495,
"CHRIST EPISCOPAL CHURCH, CHARLOTTESVILLE",38.032134,-78.481004,
CHRIST FELLOWSHIP CHURCH,38.957911,-77.389931,
CHRIST FELLOWSHIP CHURCH OF WILLIAMSBURG,37.255121,-76.7853,
CHRIST FIRST CHURCH,36.769688,-76.588463,
CHRIST FOUNDATION CHURCH,38.834819,-77.137317,
CHRIST LUTHERAN CHURCH,39.760189,-104.996553,
"CHRIST PRESBYTERIAN CHURCH OF FAIRFAX, INC.",38.873426,-77.375529,
CHRIST TABERNACLE PENTECOSTAL CHURCH,38.263201,-78.962,
CHRISTIAN ADVANCE INTERNATIONAL OF CANADA,36.324103,-88.782561,
CHRISTIAN AFRICAN LEADERSHIP MINISTRIES,33.519248,-86.808631,
CHRISTIAN ALLIANCE FOR ORPHANS,38.931194,-77.176383,
"CHRISTIAN AMERICAN REVITALIZATION EFFORT, LLC",38.836725,-77.096059,
"CHRISTIAN AND ALEXA, INC.",36.814246,-76.477015,
CHRISTIAN AND MISSIONARY ALLIANCE ETHIOPIAN EVANGELICAL CHURCH,38.778632,-77.146408,
"CHRISTIAN BRINDLE INSURANCE SERVICES, INC.",40.589577,-111.871684,
CHRISTIAN BROADCASTING CORPORATION,36.855786,-76.221099,
CHRISTIAN BROADCASTING OF GREENWOOD CORP.,36.855786,-76.221099,
CHRISTIAN CONGREGATION IN THE U.S.,37.451282,-77.651858,
CHRISTIAN CONNECTIONS FOR INTERNATIONAL HEALTH,38.773236,-77.134366,
"CHRISTIAN DIOR, INC.",40.76259,-73.972619,
CHRISTIAN E. HAMLETT LLC,37.573403,-77.455524,
"CHRISTIAN ENTERPRISE CLEANING SERVICES, INC.",37.423281,-77.544023,
CHRISTIAN FAMILIES AGAINST DESTRUCTIVE DECISIONS LLC,34.922017,-81.964144,
CHRISTIAN FELLOWSHIP CHURCH FOUNDATION,39.056213,-77.461129,
CHRISTIAN FIBER SOLUTION LLC,38.42941,-78.854522,
"CHRISTIAN FINANCIAL NETWORK, INC.",36.800951,-76.190813,
CHRISTIAN GROWTH FAMILY MINISTRIES,37.446948,-77.328425,
CHRISTIAN HEALTH OUTREACH ORGANIZATION,37.339021,-79.222997,
CHRISTIAN HEARTS SUPPORT MINISTRY INC,38.735097,-77.687834,
CHRISTIAN HEATING AND AIR CONDITIONING - MECHANICAL SERVICES LTD.,37.694933,-77.442012,
CHRISTIAN HEATING AND COOLING LTD.,37.694933,-77.442012,
"CHRISTIAN HOLDINGS, LLC",38.884024,-77.435333,
CHRISTIAN HOUSING ASSISTANCE CORPORATION,38.065794,-78.903445,
CHRISTIAN INTERNATIONAL OUTREACH MINISTRIES,38.770867,-76.879644,
"CHRISTIAN LIFE CHURCH, CORP",29.145061,-82.143887,
CHRISTIAN LIFE COACH FINDING PURPOSE SUSAN SMITH LLC,36.798428,-76.111515,
CHRISTIAN LIFE DEVELOPMENT CENTER INCORPORATED,38.78269,-77.157087,
CHRISTIAN MEDICAL SERVICES LLC,38.813421,-77.626026,
"CHRISTIAN MEN'S NETWORK, INC",28.205297,-80.610733,
CHRISTIAN MINISTRIES BEYOND WALLS,37.507277,-77.546716,
"CHRISTIAN NETCAST.COM, INC.",37.246738,-76.783899,
"CHRISTIAN NEWS AND INFORMATION INSTITUTE, INC.",36.789305,-76.192305,
CHRISTIAN P BARRON,29.960152,-95.478804,
CHRISTIAN PANORAMA LLC,38.820236,-77.145757,
"CHRISTIAN PAUL VINEYARDS, LLC",38.186819,-77.68264,
"CHRISTIAN REALTEE, LLC",36.818138,-76.448599,
"CHRISTIAN RESOLUTION CENTER, INC.",37.145035,-76.531713,
CHRISTIAN S PROFESSIONAL SKINCARE,29.542751,-95.018121,
CHRISTIAN S VENDING MACHINES LLC,38.635625,-77.281241,
CHRISTIAN SIDING LLC,38.884024,-77.435333,
"CHRISTIAN SIMPLICITY, LLC",38.825192,-77.617585,
CHRISTIAN SOLDIER CHURCH,36.680202,-78.211903,
CHRISTIAN UNITY CREATIONS LLC,37.371378,-77.502006,
CHRISTIAN VIERIG LLC,26.164954,-80.182502,
CHRISTIAN WOMEN IN ACTION,38.749952,-77.13977,
CHRISTIANA SHAO PSYD LLC,36.847067,-76.12643,
CHRISTIANA TRUCK STOP,39.592895,-75.651466,
CHRISTIANA UNITED METHODIST,39.666789,-75.662522,
CHRISTIANE ARIANNA HAWKINS,27.842174,-97.57081,
CHRISTIANNE HAGGARD,32.843196,-97.262986,
CHRISTIANS AGAINST POVERTY AMERICA,41.809458,-88.0642,
CHRISTIANS IN COMMERCE INTERNATIONAL,44.860144,-93.107897,
"CHRISTIANS PARK, INC.",40.508219,-78.382635,
CHRISTIANS UNITED AGAINST SYSTEMIC INJUSTICE,38.761344,-77.437979,
"CHRISTIANSBURG ALR, LLC",40.34756,-74.064826,
"CHRISTIANSBURG FIRE DEPARTMENT AUXILIARY, INC.",37.128855,-80.407065,
CHRISTIANSBURG QD LLC,37.141775,-80.41569,
"CHRISTIANSBURG, VA (2355 ROANOKE) LLC",41.853664,-87.957442,
CHURCH AND SOUTH LLC,39.112736,-77.56382,
CHURCH AND STATE LLC,37.166939,-76.522548,
CHURCH CLOTHES LLC,37.543035,-77.355337,
"CHURCH CREEK FARM, LLC",36.887362,-76.027436,
CHURCH DEVELOPMENT FINANCIAL SERVICES,36.815345,-76.097698,
CHURCH FARMS LLC,36.640058,-79.145521,
"CHURCH HILL ANIMAL HOSPITAL, LLC",37.588862,-77.507687,
CHURCH HILL FAIRMOUNT APARTMENTS WINN GP LLC,42.360027,-71.054495,
CHURCH HILL PRESBYTERIAN CHURCH FOUNDATION,37.533929,-77.416317,
Church Hill Property Llc,37.933093,-76.467268,
CHURCH INTERIORS INC,35.984494,-80.006071,
CHURCH OF CKBC INC.,38.845246,-77.216885,
CHURCH OF GOD,35.680441,-80.45316,
"CHURCH OF GOD AND SAINTS OF CHRIST, FIFTEENTH TABERNACLE BETH EL",37.280479,-79.961631,
"CHURCH OF GOD AND SAINTS OF CHRIST, FOURTH TABERNACLE BETH EL",37.5303,-77.41179,
"CHURCH OF GOD AND SAINTS OF CHRIST, SIXTEENTH TABERNACLE BETH EL",38.811581,-77.049152,
CHURCH OF GOD MINISTERIS LLC,36.781495,-76.276467,
"CHURCH OF NEW VISION, LLC",37.766365,-76.559352,
CHURCH OF THE HOLY CROSS OF ALBEMARLE,38.073784,-78.70211,
Church Of The Holy Tree,39.087877,-77.523889,
"CHURCH OF THE LIVING GOD COLUMN AND GROUND OF THE TRUTH, LA LUZ DEL MUNDO",38.650156,-77.30832,
CHURCH OF THE NATIVITY SOLAR LLC,38.913742,-77.225949,
CHURCH OF THE SACRED TRUTHS,40.446545,-105.083414,
CHURCH OF THE WARRIOR SPIRIT CORP.,36.865219,-75.981209,
CHURCH OF THE WAY,38.087392,-78.939613,
"CHURCH SERVICES, A SERVICE EXPERTS CO.",29.866963,-95.560968,
CHURCH SO BLESSED INC.,38.57965,-77.30633,
CHURCH SPIRITS LLC,38.861228,-77.151766,
CHURCH STREET BEAUTY LLC,38.900435,-77.268708,
CHURCH STREET PARTNERS LLC,38.885309,-77.282249,
"CHURCH WOMEN UNITED IN ROCHESTER AND VICINITY, INC.",36.324103,-88.782561,
"CHURCHILL CONSULTING ENGINEERS,",39.752823,-74.907643,
"CHURCHILL LINEN SERVICE, INC.",41.17059,-73.140072,
CHURCHILL MORTGAGE COMPANY,38.299415,-77.463104,
CHURCHILL PROPERTY MEMBER LLC,41.655668,-83.646206,
CHURCHILL PROPERTY PORTFOLLO HOLDCO LP,41.655668,-83.646206,
CHURCHILL STORAGE SOLUTIONS LLC,40.406921,-75.937544,
CHURCHOFDESTINYCENTER,37.017616,-76.439637,
CHURCHVIEW TRACT LLC,37.816155,-77.683422,
CHURCHVILLE MARKETPLACE LLC,38.944262,-77.409557,
"CHURCHVILLE, LLC",37.70999,-77.005052,
CITIPOINTE CHURCH INC,40.409318,-104.996898,
CITIPOINTE CHURCH INC,40.594597,-105.127416,
CLARENDON PRESBYTERIAN CHURCH,38.887701,-77.098983,
"CLARKSVILLE PRESBYTERIAN CHURCH, INC.",36.624049,-78.558174,
CLAUSELL DIMARY & JOSE,39.696122,-75.590164,
CLEAR LAKE PRESBYTERIAN CHURCH EARLY CHILDHOOD PROGRAM,29.573689,-95.126083,
CLEAR RIVER COMMUNITY CHURCH,38.726552,-77.494961,
"COASTAL CHURCH, LLC",37.116137,-76.462087,
COASTAL COMMUNITY CHURCH OF VIRGINIA BEACH,36.776047,-76.139324,
"COLLIERSTOWN PRESBYTERIAN CHURCH, INC.",37.78474,-79.587696,
"COLLINSVILLE PENTECOSTAL HOLINESS CHURCH, INC.",36.724691,-79.914912,
"COLLINSWOOD-AGAPE BAPTIST CHURCH, INC.",36.816502,-76.374028,
COLONIAL BAPTIST CHURCH,36.765913,-76.188693,
COMBIE BIBLE CHURCH INC,39.196288,-120.95855,
COMMISSIONED WORLD OUTREACH CHURCH MINISTRY,38.993824,-77.426994,
COMMONWEALTH CATHOLIC CHARITIES HOUSING CORPORATION,37.603018,-77.545553,
"COMMUNITY BIBLE CHURCH, INC.",38.721912,-77.466897,
COMMUNITY CHRISTIAN FELLOWSHIP OF WARRENTON,38.774877,-77.680192,
COMMUNITY HEIGHTS CHURCH,37.010773,-81.798337,
COMMUNITY OF FAITH TABERNACLE CHURCH,38.752128,-77.215638,
COMMUNITY ROOFING AND GUTTER OF CHRISTIANSBURG INC.,37.122583,-80.562913,
COMMUNITY WEST CHURCH,37.615089,-77.637621,
CONGREGATION HEBREW EDUCATIONAL ALLIANCE,39.760189,-104.996553,
CONGREGATION OF CHRIST LLC,38.378644,-78.997341,
CONGREGATION OR AMI,37.534312,-77.570726,
CONNECTION COMMUNITY CHURCH,37.293631,-79.901429,
CORDELL CHRISTIAN ORGANIC SALON,32.963739,-96.74287,
CORDELL CHRISTIAN ORGANIC SALON,33.091512,-96.804157,
"CORNERSTONE ASSEMBLY OF GOD, INC.",37.372861,-77.463384,
CORNERSTONE BIBLE CHURCH,36.764855,-76.017871,
"CORNERSTONE CHRISTIAN CHURCH, INC.",37.601495,-77.583148,
"CORNERSTONE CHURCH OF ALEXANDRIA VA, INC.",38.743023,-77.081614,
CORPORATION OF THE ROMAN CATHOLIC CLERGYMEN,39.394216,-76.57779,
"COVENANT CHRISTIAN CHURCH, INC.",38.912241,-78.290456,
COVENANT CHURCH,36.684402,-76.230093,
COVENANT FELLOWSHIP BAPTIST CHURCH,37.512662,-77.827079,
COVENANT KEEPERS CHURCH,37.363832,-77.738757,
CRAIGS BAPTIST CHURCH,38.221907,-77.825622,
"CRANDALL CONDOMINIUM OF CHRISTIANSBURG, INC.",37.266584,-79.947133,
CROSSLIGHT ASSEMBLY OF GOD,37.1922,-77.389641,
CROSSLIGHT ASSEMBLY OF GOD,37.186286,-77.366615,
"CROSSROADS BAPTIST CHURCH OF FISHERSVILLE, VIRGINIA",38.093894,-78.992758,
CROSSROADS CHRISTIAN COMMUNITY CHURCH,37.086253,-76.690248,
CROSSROADS COMMUNITY CHURCH-CCC,37.903945,-78.341075,
"CULPEPER AREA CHRISTIAN HOME EDUCATORS, INC.",38.682077,-77.929606,
DALE CITY BAPTIST CHURCH,38.629708,-77.317197,
DANCE CHURCH INC,47.600223,-122.331309,
DANIEL VILLARREAL JR.,28.819812,-96.990241,
DANIELS RUN PEACE CHURCH,38.851211,-77.297922,
DANVILLE CHURCH & COMMUNITY TUTORIAL PROGRAM,36.610499,-79.397168,
DEBRE BISRAT KIDUS GEBRIEL ETHIPIAN ORTHODOX,47.822093,-122.281464,
DIAMOND HILL PRESBYTERIAN CHURCH,37.200596,-79.044767,
DIOCESE OF OWENSBORO,37.751818,-87.257303,
DIOCESE OF PITTSBURGH (INC),40.47441,-79.950968,
DOCTRINE OF CHRIST YESHUA CHURCH INCORPORATED,36.805672,-81.175798,
DREAM CHURCH,36.800261,-76.177196,
"DREAM CITY CHURCH, INC.",38.991776,-77.488842,
"EAGLES NEST COMMUNITY CHURCH, INC.",39.61782,-104.813935,
EAST END ASSEMBLY OF GOD,37.471869,-77.329029,
"EASTLAKE COMMUNITY CHURCH, INC.",37.151985,-79.631144,
EBENEZER BAPTIST CHURCH OF WOODBRIDGE,38.669589,-77.284592,
Edenton Christian Radio Inc,36.855786,-76.221099,
EDRANS CHURCH INC.,36.324103,-88.782561,
EL ENCUENTRO CHRISTIAN STORE LLC,38.751189,-77.573299,
"ELK LICK ASSEMBLY OF GOD, INC.",38.918803,-77.515196,
"ELOHIM NEWBORN BAPTIST CHURCH, INC.",25.938254,-80.161634,
EMANUEL DESHIELDS II,39.607294,-75.7214,
EMBODIED TEMPLE OF BEAUTY LLC,36.798371,-76.085666,
EMMANUEL CHRISTIAN FELLOWSHIP CHURCH INC.,38.036618,-76.775635,
EMMANUEL CHURCH OF JESUS CHRIST,39.644832,-75.595574,
EMMANUEL PRESBYTERIAN CHURCH,38.896148,-77.139952,
EMMANUEL WORSHIP CENTER VIRGINIA,37.232138,-77.408591,
Emmanuelchurchag,38.934471,-77.428684,
